Date,Time,Mann,Olin,Uris,Math,DayOfWeek,DayOfWeek_num,Hour,IsPrelimDay,IsPrelimMinus1,HourFloat
2025-11-04,5:56 PM,116.0,290.0,196.0,0.0,Tuesday,2,17.933333333333334,1,0,
2025-11-04,6:10 PM,97.0,240.0,127.0,0.0,Tuesday,2,18.166666666666668,1,0,
2025-11-04,6:34 PM,327.0,606.0,309.0,0.0,Tuesday,2,18.566666666666663,1,0,
2025-11-04,7:35 PM,136.0,410.0,214.0,0.0,Tuesday,2,19.58333333333333,1,0,
2025-11-04,8:07 PM,126.0,429.0,278.0,0.0,Tuesday,2,20.116666666666667,1,0,
2025-11-05,9:53 AM,154.0,302.0,153.0,78.0,Wednesday,3,9.883333333333333,0,1,
2025-11-05,10:14 AM,142.0,410.0,169.0,96.0,Wednesday,3,10.233333333333333,0,1,
2025-11-05,12:19 PM,245.0,563.0,183.0,115.0,Wednesday,3,12.316666666666666,0,1,
2025-11-05,12:46 PM,271.0,549.0,316.0,144.0,Wednesday,3,12.766666666666667,0,1,
2025-11-05,1:36 PM,279.0,528.0,234.0,122.0,Wednesday,3,13.6,0,1,
2025-11-05,5:20 PM,357.0,741.0,306.0,0.0,Wednesday,3,17.333333333333332,0,1,
2025-11-05,5:26 PM,160.0,654.0,226.0,0.0,Wednesday,3,17.433333333333334,0,1,
2025-11-05,6:01 PM,263.0,616.0,234.0,0.0,Wednesday,3,18.016666666666666,0,1,
2025-11-05,7:20 PM,111.0,348.0,201.0,0.0,Wednesday,3,19.33333333333333,0,1,
2025-11-05,9:35 PM,127.0,405.0,155.0,0.0,Wednesday,3,21.58333333333333,0,1,
2025-11-05,9:38 PM,102.0,283.0,166.0,0.0,Wednesday,3,21.633333333333333,0,1,
2025-11-05,10:01 PM,0.0,530.0,170.0,0.0,Wednesday,3,22.016666666666666,0,1,
2025-11-05,10:25 PM,0.0,465.0,189.0,0.0,Wednesday,3,22.416666666666668,0,1,
2025-11-06,9:55 AM,114.0,395.0,163.0,83.0,Thursday,4,9.916666666666666,1,0,
2025-11-06,10:14 AM,174.0,505.0,189.0,110.0,Thursday,4,10.233333333333333,1,0,
2025-11-06,12:05 PM,245.0,577.0,182.0,116.0,Thursday,4,12.083333333333334,1,0,
2025-11-06,4:40 PM,149.0,467.0,265.0,0.0,Thursday,4,16.666666666666668,1,0,
2025-11-06,6:44 PM,69.0,609.0,160.0,0.0,Thursday,4,18.73333333333333,1,0,
2025-11-06,7:09 PM,159.0,629.0,263.0,0.0,Thursday,4,19.15,1,0,
2025-11-06,7:46 PM,126.0,538.0,237.0,0.0,Thursday,4,19.766666666666666,1,0,
2025-11-06,8:20 PM,76.0,493.0,141.0,0.0,Thursday,4,20.33333333333333,1,0,
2025-11-06,9:01 PM,108.0,405.0,179.0,0.0,Thursday,4,21.016666666666666,1,0,
2025-11-06,9:31 PM,127.0,596.0,198.0,0.0,Thursday,4,21.516666666666666,1,0,
2025-11-06,10:19 PM,0.0,490.0,228.0,0.0,Thursday,4,22.316666666666663,1,0,
2025-11-07,11:38 AM,125.0,131.0,184.0,88.0,Friday,5,11.633333333333333,0,0,
2025-11-07,12:52 PM,164.0,166.0,164.0,72.0,Friday,5,12.866666666666667,0,0,
2025-11-07,1:19 PM,202.0,274.0,211.0,161.0,Friday,5,13.316666666666666,0,0,
2025-11-07,1:21 PM,186.0,260.0,263.0,168.0,Friday,5,13.35,0,0,
2025-11-07,2:50 PM,168.0,233.0,269.0,187.0,Friday,5,14.833333333333334,0,0,
2025-11-07,5:49 PM,65.0,101.0,0.0,0.0,Friday,5,17.816666666666666,0,0,
2025-11-07,6:34 PM,0.0,0.0,0.0,0.0,Friday,5,18.566666666666663,0,0,
2025-11-07,6:55 PM,0.0,0.0,0.0,0.0,Friday,5,18.916666666666668,0,0,
2025-11-07,7:53 PM,0.0,0.0,0.0,0.0,Friday,5,19.883333333333333,0,0,
2025-11-07,8:20 PM,0.0,0.0,0.0,0.0,Friday,5,20.33333333333333,0,0,
2025-11-07,9:47 PM,0.0,0.0,0.0,0.0,Friday,5,21.78333333333333,0,0,
2025-11-08,10:34 AM,0.0,228.0,0.0,0.0,Saturday,6,10.566666666666666,0,0,
2025-11-08,10:50 AM,0.0,285.0,0.0,0.0,Saturday,6,10.833333333333334,0,0,
2025-11-08,11:43 AM,0.0,136.0,0.0,0.0,Saturday,6,11.716666666666669,0,0,
2025-11-08,11:49 AM,0.0,146.0,0.0,0.0,Saturday,6,11.816666666666666,0,0,
2025-11-08,12:25 PM,45.0,333.0,194.0,0.0,Saturday,6,12.416666666666666,0,0,
2025-11-08,3:22 PM,114.0,272.0,324.0,0.0,Saturday,6,15.366666666666667,0,0,
2025-11-08,4:03 PM,55.0,172.0,124.0,0.0,Saturday,6,16.05,0,0,
2025-11-08,4:54 PM,120.0,230.0,172.0,0.0,Saturday,6,16.9,0,0,
2025-11-08,5:55 PM,49.0,95.0,0.0,0.0,Saturday,6,17.916666666666668,0,0,
2025-11-08,9:06 PM,0.0,0.0,0.0,0.0,Saturday,6,21.1,0,0,
2025-11-08,9:42 PM,0.0,0.0,0.0,0.0,Saturday,6,21.7,0,0,
2025-11-08,10:58 PM,0.0,0.0,0.0,0.0,Saturday,6,22.966666666666665,0,0,
2025-11-09,10:44 AM,0.0,272.0,0.0,0.0,Sunday,0,10.733333333333333,0,0,
2025-11-09,12:26 PM,120.0,279.0,130.0,0.0,Sunday,0,12.433333333333334,0,0,
2025-11-09,4:08 PM,127.0,551.0,237.0,0.0,Sunday,0,16.133333333333333,0,0,
2025-11-09,4:33 PM,136.0,434.0,232.0,0.0,Sunday,0,16.55,0,0,
2025-11-09,4:42 PM,168.0,500.0,287.0,0.0,Sunday,0,16.7,0,0,
2025-11-09,7:09 PM,117.0,562.0,243.0,0.0,Sunday,0,19.15,0,0,
2025-11-09,8:49 PM,145.0,656.0,195.0,0.0,Sunday,0,20.816666666666663,0,0,
2025-11-09,9:37 PM,74.0,308.0,137.0,0.0,Sunday,0,21.616666666666667,0,0,
2025-11-09,10:50 PM,0.0,458.0,188.0,0.0,Sunday,0,22.83333333333333,0,0,
2025-11-10,8:21 AM,117.0,213.0,130.0,0.0,Monday,1,8.35,0,1,
2025-11-10,9:13 AM,129.0,391.0,206.0,121.0,Monday,1,9.216666666666669,0,1,
2025-11-10,9:40 AM,145.0,380.0,202.0,92.0,Monday,1,9.666666666666666,0,1,
2025-11-10,1:12 PM,227.0,318.0,183.0,149.0,Monday,1,13.2,0,1,
2025-11-10,4:13 PM,117.0,315.0,189.0,0.0,Monday,1,16.216666666666665,0,1,
2025-11-10,4:15 PM,329.0,598.0,480.0,0.0,Monday,1,16.25,0,1,
2025-11-10,5:13 PM,257.0,586.0,366.0,0.0,Monday,1,17.216666666666665,0,1,
2025-11-10,7:55 PM,143.0,627.0,373.0,0.0,Monday,1,19.916666666666668,0,1,
2025-11-10,9:42 PM,92.0,449.0,153.0,0.0,Monday,1,21.7,0,1,
2025-11-10,10:28 PM,0.0,386.0,225.0,0.0,Monday,1,22.466666666666665,0,1,
2025-11-10,11:27 PM,0.0,194.0,0.0,0.0,Monday,1,23.45,0,1,
2025-11-11,9:31 AM,131.0,276.0,127.0,77.0,Tuesday,2,9.516666666666667,1,0,
2025-11-11,10:01 AM,212.0,319.0,169.0,124.0,Tuesday,2,10.016666666666667,1,0,
2025-11-11,10:27 AM,167.0,386.0,203.0,84.0,Tuesday,2,10.45,1,0,
2025-11-11,12:36 PM,279.0,562.0,241.0,181.0,Tuesday,2,12.6,1,0,
2025-11-11,2:56 PM,300.0,638.0,311.0,191.0,Tuesday,2,14.933333333333334,1,0,
2025-11-11,4:54 PM,333.0,736.0,296.0,0.0,Tuesday,2,16.9,1,0,
2025-11-11,5:43 PM,392.0,804.0,480.0,0.0,Tuesday,2,17.716666666666665,1,0,
2025-11-11,5:49 PM,136.0,419.0,257.0,0.0,Tuesday,2,17.816666666666666,1,0,
2025-11-11,5:56 PM,130.0,357.0,203.0,0.0,Tuesday,2,17.933333333333334,1,0,
2025-11-11,6:10 PM,143.0,356.0,150.0,0.0,Tuesday,2,18.166666666666668,1,0,
2025-11-11,6:34 PM,405.0,675.0,356.0,0.0,Tuesday,2,18.566666666666663,1,0,
